password_sample,f_length,f_char_class_count,f_has_lowercase,f_has_uppercase,f_has_digit,f_has_symbol,f_dictionary_present,f_has_leetspeak,f_numeric_prefix,f_numeric_suffix,f_numeric_infix,f_has_sequence,f_has_repetition,f_rule_pattern_present,recommendation_label
pomato,6,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
addicted,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
schizophyllum,13,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
unhailable,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
charet,6,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
extensive,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unfix,5,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
allochezia,10,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
calcedon,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
flammigerous,12,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
pseud,5,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
goop,4,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
optimization,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
pathophorous,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
glandula,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
knickered,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
shepherddom,11,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
